"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.189054543E0,4.304306600E1,-8.790670030E1,1.960478630E2,1.610000153E2,NaN,NaN,3.549713927E-2,3.938499832E1,1.103234291E1,-1.000000000E0
6.949967029E0,4.304294420E1,-8.790710406E1,2.075919841E2,1.725441895E2,0.000000000E0,NaN,3.556051939E-2,5.249437714E1,5.861181641E1,0.000000000E0
7.949690465E0,4.304294402E1,-8.790710480E1,2.074921915E2,1.724443970E2,0.000000000E0,NaN,3.592851522E-2,4.463252258E1,5.200514984E1,1.400000000E1
8.949898955E0,4.304294076E1,-8.790710558E1,2.075286267E2,1.724808350E2,0.000000000E0,NaN,3.607227522E-2,3.836364746E1,4.597984695E1,1.400000000E1
9.949624579E0,4.304294166E1,-8.790710431E1,2.072642840E2,1.722164917E2,0.000000000E0,NaN,3.608834360E-2,3.586406708E1,4.325814438E1,1.500000000E1
1.095004432E1,4.304294170E1,-8.790710450E1,2.069683246E2,1.719205322E2,0.000000000E0,NaN,3.619486641E-2,3.443953705E1,4.063150024E1,1.500000000E1
1.195021177E1,4.304294241E1,-8.790710538E1,2.067643459E2,1.717165527E2,0.000000000E0,NaN,NaN,3.312514496E1,3.805921936E1,1.600000000E1
