"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.146521649E0,4.304303560E1,-8.790674170E1,1.960478412E2,1.610000153E2,NaN,NaN,3.046847191E-2,2.391099930E1,8.035490036E0,-1.000000000E0
4.814901822E0,4.304293373E1,-8.790708975E1,2.152720261E2,1.802242432E2,0.000000000E0,NaN,3.054453136E-2,3.295823288E1,3.442745590E1,0.000000000E0
5.815264529E0,4.304293420E1,-8.790709043E1,2.144675833E2,1.794197998E2,0.000000000E0,NaN,3.135204409E-2,3.047856522E1,3.183161354E1,1.100000000E1
6.815472237E0,4.304292723E1,-8.790709322E1,2.140996574E2,1.790518799E2,0.000000000E0,NaN,3.176487905E-2,2.736730003E1,3.104934692E1,1.100000000E1
7.815617497E0,4.304293058E1,-8.790709541E1,2.147538356E2,1.797060547E2,0.000000000E0,NaN,NaN,2.575768280E1,3.038760185E1,1.300000000E1
