Time (s),Latitude (°),Longitude (°),Altitude (m),Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites,,x(m)
6.03E-03,4.30E+01,-8.79E+01,2.05E+02,1.70E+02,NaN,NaN,8.92E-05,1.81E+01,3.00E+01,-1.00E+00,,=
1.02E-02,4.30E+01,-8.79E+01,2.05E+02,1.70E+02,NaN,NaN,8.92E-05,1.81E+01,3.00E+01,-1.00E+00,,
1.02E-02,4.30E+01,-8.79E+01,2.05E+02,1.70E+02,NaN,NaN,8.94E-05,1.81E+01,3.00E+01,-1.00E+00,,
2.91E+00,4.30E+01,-8.79E+01,2.05E+02,1.70E+02,NaN,NaN,8.94E-05,1.81E+01,3.00E+01,-1.00E+00,,
2.92E+00,4.30E+01,-8.79E+01,2.05E+02,1.70E+02,NaN,NaN,4.63E-03,1.81E+01,3.00E+01,-1.00E+00,,
6.51E+00,4.30E+01,-8.79E+01,2.03E+02,1.68E+02,NaN,NaN,,1.56E+01,3.00E+01,-1.00E+00,,
