"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.081097126E-2,4.304515513E1,-8.790764902E1,1.960991494E2,1.610492473E2,NaN,NaN,6.810094358E-5,1.717237705E1,3.000000000E1,-1.000000000E0
1.208591461E-2,4.304515475E1,-8.790764837E1,1.960993592E2,1.610494575E2,NaN,NaN,6.810094437E-5,1.728732667E1,3.000000000E1,-1.000000000E0
1.208591461E-2,4.304515475E1,-8.790764837E1,1.960993592E2,1.610494575E2,NaN,NaN,1.366895971E-4,1.728732667E1,3.000000000E1,-1.000000000E0
5.533790588E-2,4.304515513E1,-8.790764903E1,1.960991494E2,1.610492473E2,NaN,NaN,1.366895971E-4,1.728619166E1,3.000000000E1,-1.000000000E0
4.305775608E0,4.304515513E1,-8.790764903E1,1.960991494E2,1.610492473E2,NaN,NaN,2.104616756E-4,1.728619166E1,3.000000000E1,-1.000000000E0
4.306708660E0,4.304515472E1,-8.790764832E1,1.960993592E2,1.610494576E2,NaN,NaN,2.843780814E-4,1.794479567E1,3.000000000E1,-1.000000000E0
4.357694592E0,4.304515514E1,-8.790764903E1,1.960991494E2,1.610492473E2,NaN,NaN,3.443598915E-4,1.794490487E1,3.000000000E1,-1.000000000E0
1.032112369E1,4.304515480E1,-8.790764845E1,1.960993592E2,1.610494575E2,NaN,NaN,"",1.616815837E1,3.000000000E1,-1.000000000E0
