Price,Year,Mileage,Color,City(La)
10700,2015,93500,GREEN,LA
10688,2016,84340,GRAY,LA
10582,2016,67592,BLACK,LA
10500,2015,108817,BLACK,LA
10500,2015,94546,GREEN,LA
10500,2015,84934,BLACK,LA
10500,2016,88000,SILVER,LA
10495,2017,72113,BLACK,LA
10495,2017,79937,BLACK,LA
10495,2017,85601,SILVER,LA
9999,2015,101538,BLUE,LA
9999,2014,32851,GOLD,LA
9999,2014,51873,RED,LA
9999,2015,101025,SILVER,LA
9995,2016,69000,SILVER,LA
9995,2015,78000,GRAY,LA
9995,2015,61771,BLUE,LA
9995,2016,81000,SILVER,LA
9995,2016,82000,GRAY,LA
9995,2015,109383,WHITE,LA
9995,2015,98915,RED,LA
9995,2015,91057,WHITE,LA
9995,2016,86358,BLACK,LA
9990,2015,76480,GREEN,LA
9985,2015,83398,WHITE,LA
9950,2017,64646,BLACK,LA
9900,2016,76039,WHITE,LA
9884,2016,78737,WHITE,LA
9700,2015,80560,BLACK,LA
9500,2016,150727,BLACK,LA
9500,2015,79300,SILVER,LA
9500,2015,60961,GRAY,LA
9500,2016,67000,GOLD,LA
9499,2015,61426,GRAY,LA
9495,2015,95607,SILVER,LA
9300,2016,66000,GRAY,LA
9300,2014,81795,WHITE,LA
9250,2016,86550,SILVER,LA
9100,2016,146950,BLUE,LA
9000,2016,80800,BLACK,LA
8995,2014,66152,SILVER,LA
8995,2014,81249,GOLD,LA
8995,2016,161049,WHITE,LA
8995,2015,72000,SILVER,LA
8995,2015,76000,BLUE,LA
8995,2014,78608,GRAY,LA
8995,2017,87400,BLUE,LA
8990,2014,116000,SILVER,LA
8841,2014,68650,GOLD,LA
8750,2016,105822,GRAY,LA
8500,2015,72000,SILVER,LA
8500,2014,111100,GOLD,LA
8500,2014,71259,WHITE,LA
8495,2014,83425,BLACK,LA
8495,2017,94893,BLACK,LA
8490,2014,57300,GRAY,LA
8350,2017,80300,SILVER,LA
8200,2015,138223,GRAY,LA
8000,2015,127136,BLUE,LA
7999,2014,90000,GOLD,LA
7999,2015,107965,GOLD,LA
7995,2015,88000,GREEN,LA
7995,2014,73723,BLACK,LA
7900,2016,66000,SILVER,LA
7900,2014,65000,GREEN,LA
7890,2014,103020,SILVER,LA
7750,2015,128750,GRAY,LA
7500,2014,91554,GOLD,LA
