"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.859037082E-1,-3.603034916E-1,6.152990770E-3,-9.036287069E-3,3.604693050E-1
5.958477083E-1,-4.368746261E-2,4.138638225E-2,-9.600192547E-2,1.133040013E-1
6.057917083E-1,-1.101638544E-1,2.276875169E-2,-4.899849772E-2,1.227002186E-1
6.157357083E-1,-4.821702832E-1,-1.861803713E-2,6.894978225E-2,4.874309036E-1
6.256797083E-1,-5.810230552E-1,-4.062808975E-2,6.655008495E-2,5.862314783E-1
6.356237083E-1,-1.458334870E-1,2.673153307E-2,-1.281820768E-1,1.959913916E-1
6.455677083E-1,7.425899011E-2,4.552705147E-2,-2.050916737E-1,2.228221368E-1
6.555127082E-1,-2.251744110E-1,3.579705165E-2,-3.787241578E-2,2.311260785E-1
6.654567083E-1,-4.414683266E-1,-8.918722403E-2,3.123834032E-1,5.481168077E-1
6.754007083E-1,-2.884009385E-1,-3.581010510E-2,-3.312447667E-3,2.906345425E-1
6.853447083E-1,-8.078163683E-3,5.387330314E-2,-1.884674549E-1,1.961824943E-1
6.952887083E-1,-1.089236005E-2,7.890315028E-3,8.425545394E-2,8.532222511E-2
7.052327082E-1,-3.287274307E-1,3.874216170E-2,-1.064251721E-2,3.311735829E-1
7.151767083E-1,-3.505591433E-1,4.770113762E-2,-3.713508189E-2,3.557332228E-1
7.251207082E-1,-6.738070020E-2,-4.967822741E-2,4.160118520E-2,9.348124758E-2
7.350647083E-1,3.248837041E-2,-2.879727214E-2,-3.414013803E-2,5.522975755E-2
7.450087083E-1,-1.640833231E-1,-2.213344942E-2,4.029316306E-3,1.656184226E-1
7.549527083E-1,-3.676192355E-1,-1.763243412E-2,-1.588045299E-2,3.683843018E-1
7.648967083E-1,-1.493277465E-1,-5.287299072E-2,-1.183827281E-2,1.588536236E-1
7.748407082E-1,5.801559862E-2,-3.479225789E-3,1.151258290E-2,5.924908658E-2
7.847847083E-1,-1.059049755E-2,1.469088036E-2,-2.546403944E-2,3.124736643E-2
7.947287083E-1,-3.161146211E-1,-1.593900052E-2,-1.798720479E-2,3.170268837E-1
8.046737083E-1,-2.337788994E-1,-2.533462640E-2,1.300362289E-2,2.355069242E-1
8.146177083E-1,2.829364414E-2,5.744149340E-2,-1.564387465E-1,1.690359040E-1
8.245617083E-1,-1.846548647E-2,-5.976524086E-2,8.815496206E-2,1.080932724E-1
8.345057083E-1,-2.682925466E-1,-4.999775033E-2,1.660316885E-2,2.734160398E-1
8.444497082E-1,-2.322175101E-1,2.916048930E-2,-1.034021616E-2,2.342695589E-1
8.543937083E-1,2.052964725E-2,6.296150252E-2,-4.701219857E-2,8.121430927E-2
8.643377083E-1,5.761763621E-2,-3.010684973E-2,3.905881584E-2,7.584065860E-2
8.742817083E-1,-1.351893526E-1,-4.978847026E-2,1.435959220E-2,1.447800080E-1
8.842257083E-1,-2.242260474E-1,-5.875496990E-2,-1.333165169E-2,2.321792406E-1
8.941697082E-1,-3.909179779E-2,-1.587049674E-2,-2.964772224E-2,5.156577116E-2
9.041137083E-1,-2.361370861E-2,-2.823656984E-4,-2.403790355E-3,2.373742136E-2
9.140577082E-1,-9.122554514E-2,9.081577866E-3,-2.889986336E-2,9.612376004E-2
9.240017083E-1,-1.337343278E-1,-1.319004400E-2,-1.976943612E-2,1.358295929E-1
9.339457083E-1,-7.825330535E-2,-3.749928576E-2,1.570679069E-2,8.818434954E-2
9.438897083E-1,1.108195145E-2,9.474540451E-3,-2.979916513E-2,3.317479174E-2
9.538347083E-1,-1.087850444E-1,1.088524061E-2,2.184402823E-2,1.114891740E-1
9.637787082E-1,-1.721318327E-1,1.757633739E-2,1.705281973E-2,1.738651608E-1
9.737227083E-1,-1.887757859E-1,2.371798319E-2,-4.596671641E-2,1.957339498E-1
9.836667082E-1,-6.543037056E-2,-7.438526256E-3,-2.845079720E-2,7.173501882E-2
9.936107083E-1,-2.543406561E-2,-1.831962814E-2,-6.446555257E-3,3.200091473E-2
1.003554708E0,-1.598126812E-1,-1.819501849E-2,5.677061677E-3,1.609452727E-1
1.013498708E0,-2.409470925E-1,-3.577422924E-2,-2.695390999E-2,2.450751112E-1
1.023442708E0,-7.000659339E-2,-6.203280022E-2,1.091733634E-2,9.417101282E-2
1.033386708E0,2.748239551E-2,-5.398751571E-2,7.476249933E-3,6.103956281E-2
1.043330708E0,-6.900141134E-2,-9.280485981E-2,1.031741202E-2,1.161050635E-1
1.053274708E0,-1.406403372E-1,-7.774453363E-3,-3.249414682E-2,1.445545439E-1
1.063218708E0,-1.055158752E-1,-6.493282733E-2,4.010605216E-2,1.302242965E-1
1.073162708E0,4.416511618E-3,-2.347090635E-2,-6.033449471E-2,6.488944654E-2
1.083106708E0,-6.640486387E-2,-3.634991503E-2,8.821694255E-3,7.621512027E-2
1.093050708E0,-9.859810749E-2,2.204998727E-3,-3.638429940E-2,1.051202457E-1
1.102994708E0,-8.167878700E-2,3.077120078E-3,4.160352409E-2,9.171557191E-2
1.112939708E0,7.384612187E-2,-3.388937927E-2,1.121963739E-2,8.202207024E-2
1.122883708E0,1.863162506E-2,-2.811811804E-3,-2.380810797E-2,3.036230793E-2
1.132827708E0,-7.912459530E-2,1.882768722E-2,8.672590256E-3,8.179484830E-2
1.142771708E0,-2.674392415E-2,2.662368392E-2,-7.492622137E-3,3.847333376E-2
1.152715708E0,2.274523217E-1,2.501376729E-2,-7.190321088E-3,2.289365588E-1
1.162659708E0,2.165661218E-1,3.623263724E-3,-1.362576663E-2,2.170245946E-1
1.172603708E0,1.225694487E-2,7.775887758E-3,-6.138991714E-3,1.576021406E-2
